seed,keyword,intent,volume,kd,bron,opmerking
uitgaan eindhoven,uitgaan eindhoven,C,880,21,SEMrush NL,HOOFD-KW stad-hub
uitgaan eindhoven,eindhoven uitgaan,C,720,22,SEMrush NL,
uitgaan eindhoven,uitgaan in eindhoven,C,590,23,SEMrush NL,
uitgaan eindhoven,uitgaan eindhoven agenda,I,70,15,SEMrush NL,agenda
uitgaan eindhoven,eindhoven uitgaan clubs,C,40,17,SEMrush NL,
wat te doen eindhoven,wat te doen in eindhoven vandaag,I,590,27,SEMrush NL,HOOFD-KW (vandaag-variant dominant)
wat te doen eindhoven,wat te doen vandaag in eindhoven,I,590,30,SEMrush NL,
wat te doen eindhoven,wat te doen in eindhoven dit weekend,I,480,21,SEMrush NL,weekend
wat te doen eindhoven,wat is er te doen in eindhoven,I,390,31,SEMrush NL,
wat te doen eindhoven,wat is er in eindhoven te doen,I,320,29,SEMrush NL,
wat te doen eindhoven,wat is er te doen in eindhoven vandaag,I,320,28,SEMrush NL,
wat te doen eindhoven,wat te doen in eindhoven en omgeving,n/a,140,n/a,SEMrush NL,omgeving
wat te doen eindhoven,wat te doen in omgeving eindhoven,I,110,24,SEMrush NL,
uitjes eindhoven,eindhoven uitjes,I,720,32,SEMrush NL,HOOFD-KW
uitjes eindhoven,uitjes eindhoven,C,720,37,SEMrush NL,
uitjes eindhoven,uitjes in eindhoven,I,720,32,SEMrush NL,
uitjes eindhoven,uitje eindhoven,I,260,28,SEMrush NL,enkelvoud
uitjes eindhoven,eindhoven uitje,C,110,34,SEMrush NL,
uitjes eindhoven,leuke uitjes eindhoven,I,110,30,SEMrush NL,
uitjes eindhoven,leuke uitjes in eindhoven,I,110,35,SEMrush NL,
uitjes eindhoven,team uitje eindhoven,I,90,14,SEMrush NL,B2B - lage KD
vrijgezellenfeest eindhoven,vrijgezellenfeest eindhoven,I,320,11,SEMrush NL,HOOFD-KW
vrijgezellenfeest eindhoven,eindhoven vrijgezellenfeest,C,170,11,SEMrush NL,
vrijgezellenfeest eindhoven,vrijgezellenfeest eindhoven vrouwen,I,40,3,SEMrush NL,doelgroep
vrijgezellenfeest eindhoven,activiteiten eindhoven vrijgezellenfeest,C,30,9,SEMrush NL,
vrijgezellenfeest eindhoven,vrijgezellenfeest mannen eindhoven,I,30,5,SEMrush NL,
bedrijfsuitje eindhoven,bedrijfsuitje eindhoven,C,480,24,SEMrush NL,HOOFD-KW - sterk
bedrijfsuitje eindhoven,beleef eindhoven bedrijfsuitjes,N,390,19,SEMrush NL,merknaam
bedrijfsuitje eindhoven,eindhoven bedrijfsuitje,C,320,28,SEMrush NL,
bedrijfsuitje eindhoven,bedrijfsuitjes eindhoven,C,110,27,SEMrush NL,meervoud
bedrijfsuitje eindhoven,bedrijfsuitje ideeën eindhoven,I,30,3,SEMrush NL,KD 3
feestlocatie eindhoven,feestlocatie eindhoven,I,210,17,SEMrush NL,HOOFD-KW
feestlocatie eindhoven,eindhoven feestlocatie,I,140,16,SEMrush NL,
feestlocatie eindhoven,feestlocaties eindhoven,I,50,10,SEMrush NL,meervoud
trouwlocatie eindhoven,trouwlocatie eindhoven,C,110,26,SEMrush NL,HOOFD-KW - laag volume
trouwlocatie eindhoven,trouwlocaties eindhoven,I,110,29,SEMrush NL,
date eindhoven,date eindhoven ideeen,I,260,10,SEMrush NL,HOOFD-KW (ideeen-variant)
date eindhoven,date ideeen eindhoven,I,260,10,SEMrush NL,
date eindhoven,date eindhoven,I,110,10,SEMrush NL,
date eindhoven,date in eindhoven,I,110,9,SEMrush NL,
bezienswaardigheden eindhoven,bezienswaardigheden eindhoven,I,590,24,SEMrush NL,HOOFD-KW
bezienswaardigheden eindhoven,bezienswaardigheden in eindhoven,I,590,24,SEMrush NL,
bezienswaardigheden eindhoven,eindhoven bezienswaardigheden,I,590,23,SEMrush NL,
kroegen eindhoven,eindhoven kroegen,C,210,15,SEMrush NL,HOOFD-KW
kroegen eindhoven,kroegen eindhoven,C,210,12,SEMrush NL,
kroegen eindhoven,kroegen in eindhoven,C,210,13,SEMrush NL,
kroegen eindhoven,kroeg eindhoven,C,40,23,SEMrush NL,
stappen eindhoven,eindhoven stappen,I,70,15,SEMrush NL,HOOFD-KW - laag
stappen eindhoven,stappen eindhoven,n/a,70,n/a,SEMrush NL,
stappen eindhoven,stappen in eindhoven,I,70,8,SEMrush NL,KD 8
avondje uit eindhoven,avondje uit eindhoven,I,50,15,SEMrush NL,HOOFD-KW - laag
avondje uit eindhoven,avondje uit eindhoven 2 personen,I,40,5,SEMrush NL,
evenementenlocatie eindhoven,evenementenlocatie eindhoven,C,320,20,SEMrush NL,HOOFD-KW
evenementenlocatie eindhoven,evenementenlocaties eindhoven,C,50,13,SEMrush NL,
live muziek eindhoven,live muziek eindhoven vandaag,C,260,28,SEMrush NL,HOOFD-KW (vandaag-variant)
live muziek eindhoven,eindhoven live muziek,C,140,14,SEMrush NL,
live muziek eindhoven,live muziek eindhoven,C,140,19,SEMrush NL,
live muziek eindhoven,live muziek in eindhoven,C,110,14,SEMrush NL,
live muziek eindhoven,live muziek eindhoven zaterdag,I,50,23,SEMrush NL,weekend
live muziek eindhoven,live muziek eindhoven zondag,C,50,23,SEMrush NL,
