seed,keyword,intent,volume,kd,bron,opmerking
uitgaan utrecht,uitgaan in utrecht,C,1600,20,SEMrush NL,HOOFD-KW stad-hub
uitgaan utrecht,uitgaan utrecht,C,1600,25,SEMrush NL,variant
uitgaan utrecht,utrecht uitgaan,C,1300,23,SEMrush NL,variant
uitgaan utrecht,club utrecht uitgaan,C,40,18,SEMrush NL,
uitgaan utrecht,donderdag uitgaan utrecht,C,40,17,SEMrush NL,dag-variant
uitgaan utrecht,nachtleven en uitgaan utrecht,n/a,30,n/a,SEMrush NL,
uitgaan utrecht,uitgaan 40 plus utrecht,n/a,30,n/a,SEMrush NL,leeftijd
uitgaan utrecht,uitgaan utrecht zaterdag,C,30,19,SEMrush NL,dag-variant
wat te doen utrecht,wat te doen in utrecht,I,3600,23,SEMrush NL,TOPPER HOOFD-KW
wat te doen utrecht,wat te doen in utrecht dit weekend,I,880,27,SEMrush NL,weekend
wat te doen utrecht,wat is er te doen in utrecht,I,480,18,SEMrush NL,
wat te doen utrecht,wat is er in utrecht te doen,I,390,17,SEMrush NL,
wat te doen utrecht,wat te doen in utrecht vandaag,I,390,26,SEMrush NL,vandaag
wat te doen utrecht,wat te doen in utrecht met kinderen,I,170,14,SEMrush NL,kinderen-variant
wat te doen utrecht,wat is er te doen in utrecht vandaag,I,140,n/a,SEMrush NL,
wat te doen utrecht,wat te doen in utrecht centrum,I,140,19,SEMrush NL,
wat te doen utrecht,wat te doen in utrecht op zondag,I,140,18,SEMrush NL,zondag
wat te doen utrecht,wat te doen in utrecht voor kinderen,I,140,34,SEMrush NL,
uitjes utrecht,uitjes utrecht,C,1900,29,SEMrush NL,HOOFD-KW pagina
uitjes utrecht,utrecht uitjes,I,1600,23,SEMrush NL,
uitjes utrecht,uitjes in utrecht,I,1300,15,SEMrush NL,KD 15 - laag!
uitjes utrecht,uitje utrecht,I,720,29,SEMrush NL,
uitjes utrecht,leuke uitjes utrecht,I,480,23,SEMrush NL,
uitjes utrecht,uitjes utrecht volwassenen,I,480,14,SEMrush NL,doelgroep-variant
uitjes utrecht,leuke uitjes in utrecht,I,390,13,SEMrush NL,
uitjes utrecht,utrecht uitjes kinderen,I,320,18,SEMrush NL,kinderen-variant
uitjes utrecht,gekke uitjes utrecht,I,260,23,SEMrush NL,
uitjes utrecht,uitje kinderen utrecht,I,260,18,SEMrush NL,
vrijgezellenfeest utrecht,vrijgezellenfeest utrecht,I,590,11,SEMrush NL,HOOFD-KW pagina
vrijgezellenfeest utrecht,utrecht vrijgezellenfeest,I,480,8,SEMrush NL,KD 8
vrijgezellenfeest utrecht,vrijgezellenfeest in utrecht,C,480,13,SEMrush NL,
vrijgezellenfeest utrecht,utrecht vrijgezellenfeest vrouw,I,140,6,SEMrush NL,doelgroep
vrijgezellenfeest utrecht,vrijgezellenfeest utrecht vrouwen,I,140,6,SEMrush NL,doelgroep
vrijgezellenfeest utrecht,vrijgezellenfeest vrouwen utrecht,I,110,5,SEMrush NL,doelgroep
vrijgezellenfeest utrecht,vrijgezellenfeest utrecht mannen,I,90,8,SEMrush NL,doelgroep
bedrijfsuitje utrecht,bedrijfsuitje utrecht,C,880,12,SEMrush NL,HOOFD-KW - TOPPER
bedrijfsuitje utrecht,karaoke bedrijfsuitje utrecht,n/a,390,n/a,SEMrush NL,niche - karaoke
bedrijfsuitje utrecht,bedrijfsuitjes utrecht,I,320,24,SEMrush NL,
bedrijfsuitje utrecht,utrecht bedrijfsuitje,C,210,14,SEMrush NL,
bedrijfsuitje utrecht,bedrijfsuitje in utrecht,C,140,14,SEMrush NL,
bedrijfsuitje utrecht,bedrijfsuitje omgeving utrecht,C,140,15,SEMrush NL,
bedrijfsuitje utrecht,creatieve bedrijfsuitjes utrecht,I,110,13,SEMrush NL,
feestlocatie utrecht,feestlocatie utrecht,C,260,24,SEMrush NL,HOOFD-KW
feestlocatie utrecht,feestlocaties utrecht,I,90,11,SEMrush NL,
feestlocatie utrecht,goedkope feestlocatie utrecht,C,90,41,SEMrush NL,KD hoog
feestlocatie utrecht,feestlocatie utrecht 50 personen,C,70,14,SEMrush NL,grootte-variant
feestlocatie utrecht,kleine feestlocatie utrecht,C,70,10,SEMrush NL,
trouwlocatie utrecht,trouwlocaties utrecht,C,590,20,SEMrush NL,HOOFD-KW (meervoud)
trouwlocatie utrecht,utrecht trouwlocatie,C,480,20,SEMrush NL,
trouwlocatie utrecht,trouwlocatie utrecht,C,320,15,SEMrush NL,
trouwlocatie utrecht,bijzondere trouwlocaties utrecht,C,70,16,SEMrush NL,
trouwlocatie utrecht,mooie trouwlocaties utrecht,C,50,16,SEMrush NL,
date utrecht,date ideeen utrecht,I,590,12,SEMrush NL,HOOFD-KW (ideeen)
date utrecht,date idee utrecht,I,260,14,SEMrush NL,
date utrecht,date utrecht,I,260,9,SEMrush NL,KD 9
date utrecht,date ideeën utrecht,I,140,13,SEMrush NL,
date utrecht,date in utrecht,I,140,10,SEMrush NL,
date utrecht,leuke date ideeen utrecht,I,140,8,SEMrush NL,
bezienswaardigheden utrecht,bezienswaardigheden utrecht,I,720,25,SEMrush NL,HOOFD-KW
bezienswaardigheden utrecht,utrecht bezienswaardigheden,I,480,29,SEMrush NL,
bezienswaardigheden utrecht,bezienswaardigheden in utrecht,I,390,19,SEMrush NL,
bezienswaardigheden utrecht,bezienswaardigheden utrecht regio,n/a,110,n/a,SEMrush NL,
kroegen utrecht,kroeg utrecht,C,720,22,SEMrush NL,HOOFD-KW (enkelvoud)
kroegen utrecht,kroegen in utrecht,C,720,19,SEMrush NL,
kroegen utrecht,utrecht kroeg,C,720,20,SEMrush NL,
kroegen utrecht,kroegen utrecht,C,170,18,SEMrush NL,meervoud
kroegen utrecht,leuke kroeg utrecht,C,170,17,SEMrush NL,
kroegen utrecht,bruine kroeg utrecht,C,140,16,SEMrush NL,
kroegen utrecht,kroeg afhuren utrecht,C,140,7,SEMrush NL,B2B intent
stappen utrecht,stappen in utrecht,I,170,13,SEMrush NL,HOOFD-KW
stappen utrecht,stappen utrecht,C,170,20,SEMrush NL,
stappen utrecht,utrecht stappen,C,170,19,SEMrush NL,
stappen utrecht,happen en stappen utrecht,n/a,140,n/a,SEMrush NL,
avondje uit utrecht,avondje uit utrecht,I,90,12,SEMrush NL,HOOFD-KW - laag maar haalbaar
evenementenlocatie utrecht,mereveld - evenementenlocatie utrecht,N,1300,20,SEMrush NL,merknaam
evenementenlocatie utrecht,evenementenlocatie utrecht,C,590,25,SEMrush NL,HOOFD-KW
evenementenlocatie utrecht,evenementenlocaties utrecht,C,110,21,SEMrush NL,meervoud
live muziek utrecht,live muziek utrecht,C,390,25,SEMrush NL,HOOFD-KW
live muziek utrecht,utrecht live muziek,C,390,32,SEMrush NL,
live muziek utrecht,live muziek in utrecht,C,320,32,SEMrush NL,
live muziek utrecht,live muziek utrecht agenda,C,210,37,SEMrush NL,agenda
live muziek utrecht,live muziek restaurant utrecht,C,140,21,SEMrush NL,restaurant-variant
live muziek utrecht,restaurant live muziek utrecht,C,140,39,SEMrush NL,
live muziek utrecht,live muziek utrecht vandaag,I,110,22,SEMrush NL,
live muziek utrecht,restaurant met live muziek utrecht,C,110,19,SEMrush NL,HOUDEN als aparte pagina
live muziek utrecht,restaurant utrecht live muziek,T,110,32,SEMrush NL,
live muziek utrecht,restaurant utrecht met live muziek,C,90,n/a,SEMrush NL,
