silo,positie,concurrent_naam,url,type,opmerking
pianoshow,1,Twilight Entertainment,twilight-entertainment.nl/bands-orkesten/pianoshows-boeken,bureau,grootste aanbod claim
pianoshow,2,Buro Live Muziek,burolivemuziek.nl/category_band/piano-show,bureau,voordelig-positionering
pianoshow,3,Mike's Pianoshow,mikespianoshow.com,directe band,20 jaar ervaring - geen prijzen/reviews zichtbaar
pianoshow,4,Bekende Artiestboeken,bekendeartiestboeken.nl/prijslijst/pianoshow,bureau,prijs-focus
pianoshow,5,Bandzoeker,bandzoeker.nl/interactieve-pianoshow,platform,
pianoshow,6,Gigstarter,gigstarter.nl/genres/piano-show,platform,
pianoshow,7,Viking Entertainment,vikingentertainment.nl/all-in-one-dj-pianoshow-boeken,bureau,DJ+piano combo
pianoshow,8,Buro voor Muziek,burovoormuziek.nl/act/pianocos-boeken-of-inhuren,bureau,
pianoshow,9,Plugify - De Pianoshow,plugify.nl/depianoshowftsaxophone,platform,
pianoshow,10,Groove Piano,groovepiano.nl,directe band,STERKSTE - prijzen €825/€1625 + 20+ reviews + agenda
pianobar,1,Crazy Pianos Scheveningen,crazypianos.com,fysieke venue,marktleider venues
pianobar,2,The Piano Bar NL,thepianobar.nl,fysieke venue,
pianobar,3,Maxim Pianobar Amsterdam,pianobar.online,fysieke venue,
pianobar,9,Puur Den Haag (themafeesten),puurdenhaag.nl/feesten/themafeesten/pianobar,feest-organisator,enige niet-venue in top 10
coverband,1,ShowBird,showbird.com/nl/band-coverband,platform,marktleider platform NL
coverband,2,Plugify,plugify.nl/nederland/coverband,platform,
coverband,3,Bandzoeker,bandzoeker.nl,platform,
coverband,4,Evenses,evenses.com/coverband,platform,100+ geverifieerde opties
coverband,5,Twilight Entertainment,twilight-entertainment.nl/bands-orkesten/coverbands-boeken,bureau,
coverband,6,Plugify Amsterdam,plugify.nl/amsterdam/coverband,platform,lokale variant
coverband,7,Viking Entertainment,vikingentertainment.nl/bands/coverbands,bureau,
coverband,8,Love Sound,love-sound.nl/coverband-boeken-huren,bureau,
coverband,9,Evenses band,evenses.com/band,platform,
coverband,10,Gigstarter,gigstarter.nl/genres/coverband/band-boeken,platform,
coverband,11,Band Escape,band-escape.nl,directe band,enige directe band - net buiten top 10
bruiloftband,1,Plugify,plugify.nl/Nederland/Bands,platform,vanaf 120 EUR
bruiloftband,2,ThePerfectWedding.nl,theperfectwedding.nl/muziek/bedrijven,bruiloft-platform,
bruiloftband,3,ShowBird Top 10,showbird.com/blog-top-10-bruiloft-bands,listicle,4.8 sterren 618 reviews
bruiloftband,4,Entertainment Agency,entertainment-agency.nl/alle-bands,bureau,ceremonie/diner/feest
bruiloftband,6,Bruiloft Band 77+,?,platform,
bruiloftband,7,Viking Entertainment,vikingentertainment.nl,bureau,
bruiloftband,9,Steengoede Bruiloftband,?,bureau,
bruiloftband,ad,Benga Band,bengaband.com/bruiloftband,directe band,Google Ads top
bedrijfsfeest-band,1,Band voor bedrijfsfeest,?,platform,
bedrijfsfeest-band,2,Bedrijfsfeest band boeken,?,bureau,
bedrijfsfeest-band,3,Plugify 2000+ bands,plugify.nl,platform,2000+ aanbod
bedrijfsfeest-band,4,Steengoede,?,bureau,
bedrijfsfeest-band,5,Evenses 158+,evenses.com/band,platform,158+ geverifieerde
bedrijfsfeest-band,6,Band of coverband,?,bureau,
bedrijfsfeest-band,7,Bedrijfsfeest coverband,?,bureau,
bedrijfsfeest-band,8,Feest band boeken,?,bureau,
bedrijfsfeest-band,9,YourBand,yourband.nl,directe band,"You decide we play - zwakke positionering"
bedrijfsfeest-band,10,Coverband bedrijfsfeesten,?,bureau,
