url,title_tag,title_lengte,meta_description,meta_lengte
/breda,Uitgaan in Breda — hotspots & agenda | De Jongens,49,"Op zoek naar uitgaan in Breda? Ontdek de leukste hotspots en waar De Jongens deze week live spelen. Boek nu jouw avond uit.",129
/breda/wat-te-doen,Wat te doen in Breda? Top 25 ideeën voor elk moment,52,"Wat te doen in Breda? De leukste ideeën voor vandaag, dit weekend, met vriendinnen of kinderen — plus De Jongens live in Studio Dependance.",141
/breda/uitjes,Uitjes in Breda — 10 leuke uitjes & team uitjes | De Jongens,61,"Op zoek naar uitjes in Breda? Ontdek 10 ideeën voor familie, vriendinnen of teams. Eindig je dag bij De Jongens in Studio Dependance.",137
/breda/bedrijfsuitje,Bedrijfsuitje in Breda — origineel & georganiseerd | De Jongens,63,"Een onvergetelijk bedrijfsuitje in Breda? Wij regelen muziek + techniek alles-in-één voor jouw team. Heineken & Rabobank gingen voor.",136
/breda/vrijgezellenfeest,Vrijgezellenfeest in Breda — vrouwen & mannen | De Jongens,58,"Vrijgezellenfeest in Breda voor vrouwen of mannen? Ontdek de leukste ideeën en boek De Jongens als knaller-finale van de avond.",132
/breda/trouwlocatie,Trouwlocatie in Breda — bijzonder & sfeervol | De Jongens,57,"Op zoek naar een trouwlocatie in Breda? Bekijk de mooiste plekken en boek De Jongens als bruiloftsband voor je trouwfeest.",125
/breda/feestlocatie,Feestlocatie in Breda — klein tot groot | De Jongens,52,"Feestlocatie in Breda zoeken? Bekijk de leukste locaties van klein tot groot — incl. tips voor live muziek door De Jongens.",125
/breda/live-muziek,Live muziek in Breda — agenda & De Jongens live,47,"Live muziek in Breda? Bekijk de agenda en zie waar De Jongens deze week spelen in Studio Dependance.",100
/breda/bezienswaardigheden,Bezienswaardigheden in Breda — alles om te zien,47,"De top bezienswaardigheden in Breda op een rij. Eindig je dag bij De Jongens in Studio Dependance voor een avond live muziek.",126
/breda/kroegen,Kroegen in Breda — top 10 leukste plekken | De Jongens,55,"De 10 leukste kroegen in Breda — van bruin café tot live muziek. Plus waar De Jongens elke week spelen in Studio Dependance.",126
/breda/date-activiteiten,Date in Breda — 10 romantische ideeën | De Jongens,51,"Op date in Breda? Ontdek 10 romantische ideeën en eindig de avond bij De Jongens in Studio Dependance voor live muziek.",121
/breda/evenementenlocatie,Evenementenlocatie in Breda — zakelijk & uniek | De Jongens,60,"Zoek je een evenementenlocatie in Breda voor zakelijke events? Bekijk de top opties incl. live muziek door De Jongens.",119
/breda/stappen,Stappen in Breda — happen en stappen tips | De Jongens,55,"Stappen in Breda met je vrienden? Onze top kroegen + happen en stappen tips. Eindig de avond bij De Jongens in Studio Dependance.",131
/breda/avondje-uit,Avondje uit in Breda — plan je perfecte avond | De Jongens,58,"Een avondje uit in Breda? Combineer eten, drinken en live muziek tot een perfecte avond — met De Jongens als afsluiter.",121
/utrecht,Uitgaan in Utrecht — hotspots & live muziek | De Jongens,57,"Wat te doen in Utrecht? Ontdek de beste kroegen, restaurants en pianobars — plus waar De Jongens deze week live spelen.",119
/utrecht/wat-te-doen,Wat te doen in Utrecht? Top 30 ideeën voor elk moment,54,"Wat te doen in Utrecht? De leukste ideeën voor dit weekend, vandaag, met kinderen of op zondag — plus De Jongens in Club Poema.",128
/utrecht/uitjes,Uitjes in Utrecht — leuke uitjes & team uitjes | De Jongens,59,"Uitjes in Utrecht voor volwassenen, kinderen of teams? Ontdek 15 leuke ideeën. Boek De Jongens als pianoshow voor je team uitje.",129
/utrecht/bedrijfsuitje,Bedrijfsuitje in Utrecht — origineel & alles-in-één,53,"Een onvergetelijk bedrijfsuitje in Utrecht? Wij regelen muziek + techniek voor jouw team. 100+ corporate events per jaar.",122
/utrecht/bezienswaardigheden,Bezienswaardigheden in Utrecht — alles om te zien,49,"De top bezienswaardigheden in Utrecht op een rij. Eindig je dag bij De Jongens in Club Poema voor live muziek.",111
/utrecht/kroegen,Kroegen in Utrecht — top kroegen & kroeg afhuren,49,"De leukste kroegen in Utrecht — bruin café tot afhuren voor je feest. Plus De Jongens live in Club Poema.",107
/utrecht/trouwlocatie,Trouwlocaties in Utrecht — bijzonder & sfeervol,48,"Op zoek naar een trouwlocatie in Utrecht? Bekijk de mooiste plekken en boek De Jongens als bruiloftband voor je trouwfeest.",125
/utrecht/vrijgezellenfeest,Vrijgezellenfeest in Utrecht — vrouwen & mannen,48,"Vrijgezellenfeest in Utrecht voor vrouwen of mannen? Ontdek de leukste ideeën en boek De Jongens als avond-finale.",116
/utrecht/evenementenlocatie,Evenementenlocatie in Utrecht — zakelijk & uniek,49,"Een evenementenlocatie in Utrecht voor zakelijke events? Top opties incl. live muziek door De Jongens.",105
/utrecht/date-activiteiten,Date in Utrecht — 10 romantische ideeën | De Jongens,52,"Op date in Utrecht? Ontdek 10 romantische ideeën en eindig de avond bij De Jongens in Club Poema voor live muziek.",116
/utrecht/live-muziek,Live muziek in Utrecht — agenda & De Jongens,45,"Live muziek in Utrecht? Bekijk de agenda en zie waar De Jongens deze week spelen in Club Poema.",98
/utrecht/restaurant-met-live-muziek,Restaurant met live muziek Utrecht | De Jongens,48,"De leukste restaurants met live muziek in Utrecht. Dineren én live entertainment op één avond — soms met De Jongens.",120
/utrecht/feestlocatie,Feestlocatie in Utrecht — klein tot groot | De Jongens,55,"Feestlocatie in Utrecht zoeken? Bekijk de leukste locaties van klein tot groot — incl. live muziek door De Jongens.",118
/utrecht/stappen,Stappen in Utrecht — happen en stappen tips,44,"Stappen in Utrecht met je vrienden? Onze top kroegen + happen en stappen tips. Eindig bij De Jongens in Club Poema.",119
/utrecht/avondje-uit,Avondje uit in Utrecht — plan je perfecte avond,48,"Een avondje uit in Utrecht? Combineer eten, drinken en live muziek tot een perfecte avond — met De Jongens als afsluiter.",126
/eindhoven,Uitgaan in Eindhoven — hotspots & live muziek,46,"Wat te doen in Eindhoven? Ontdek de beste kroegen, restaurants en live muziek — plus waar De Jongens spelen in Stadscafé Spijker.",132
/eindhoven/uitjes,Uitjes in Eindhoven — leuke uitjes & team uitjes,49,"Uitjes in Eindhoven voor volwassenen of teams? Ontdek 15 leuke ideeën. Boek De Jongens als pianoshow voor je team uitje.",125
/eindhoven/wat-te-doen,Wat te doen in Eindhoven? Top 20 voor vandaag & altijd,55,"Wat te doen in Eindhoven? De leukste ideeën voor vandaag, dit weekend of met kinderen — plus De Jongens in Stadscafé Spijker.",128
/eindhoven/bedrijfsuitje,Bedrijfsuitje in Eindhoven — origineel & alles-in-één,53,"Een onvergetelijk bedrijfsuitje in Eindhoven? Wij regelen muziek + techniek voor jouw team. Heineken en Rabobank gingen voor.",128
/eindhoven/bezienswaardigheden,Bezienswaardigheden in Eindhoven — alles om te zien,51,"De top bezienswaardigheden in Eindhoven. Eindig je dag bij De Jongens in Stadscafé Spijker voor live muziek.",110
/eindhoven/vrijgezellenfeest,Vrijgezellenfeest in Eindhoven — vrouwen & mannen,50,"Vrijgezellenfeest in Eindhoven voor vrouwen of mannen? Ontdek de leukste ideeën en boek De Jongens als avond-finale.",120
/eindhoven/evenementenlocatie,Evenementenlocatie in Eindhoven — zakelijk & uniek,52,"Een evenementenlocatie in Eindhoven voor zakelijke events? Top opties incl. live muziek door De Jongens.",107
/eindhoven/date-activiteiten,Date in Eindhoven — 10 romantische ideeën,42,"Op date in Eindhoven? Ontdek 10 romantische ideeën en eindig de avond bij De Jongens in Stadscafé Spijker voor live muziek.",126
/eindhoven/kroegen,Kroegen in Eindhoven — top 10 leukste plekken,46,"De 10 leukste kroegen in Eindhoven. Plus waar De Jongens elke week spelen in Stadscafé Spijker.",97
/eindhoven/feestlocatie,Feestlocatie in Eindhoven — klein tot groot,44,"Feestlocatie in Eindhoven zoeken? Bekijk de leukste locaties van klein tot groot — incl. live muziek door De Jongens.",119
/eindhoven/live-muziek,Live muziek in Eindhoven — agenda & De Jongens,46,"Live muziek in Eindhoven? Bekijk de agenda en zie waar De Jongens deze week spelen in Stadscafé Spijker.",106
/eindhoven/trouwlocatie,Trouwlocatie in Eindhoven — bijzonder & sfeervol,49,"Op zoek naar een trouwlocatie in Eindhoven? Boek De Jongens als bruiloftband voor je trouwfeest in Eindhoven.",109
